timestamp	frame_idx	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_pos_vid_x	gaze_pos_vid_y	gaze_pos_3d_x	gaze_pos_3d_y	gaze_pos_3d_z
269.83500000	18	-0.02600000	0.13580000	0.99040000	29.16000000	-25.19000000	-29.25000000	2.41000000	0.02310000	0.12510000	0.99190000	-30.14000000	-21.49000000	-26.44000000	2.62000000	985.53600000	420.33600000	-2.25000000	128.54000000	1126.20000000
279.82700000	18	-0.02680000	0.12770000	0.99150000	29.25000000	-25.01000000	-29.35000000	2.43000000	0.02320000	0.13280000	0.99090000	-30.11000000	-21.68000000	-26.51000000	2.56000000	985.92000000	420.44400000	-2.56000000	129.09000000	1131.91000000
289.81600000	19	-0.02550000	0.13580000	0.99040000	29.16000000	-25.19000000	-29.25000000	2.42000000	0.02090000	0.12250000	0.99230000	-30.14000000	-21.49000000	-26.44000000	2.61000000	986.49600000	421.30800000	-3.33000000	131.35000000	1159.72000000
299.81400000	19	-0.02680000	0.12700000	0.99150000	29.25000000	-25.01000000	-29.35000000	2.43000000	0.02190000	0.13120000	0.99110000	-30.11000000	-21.68000000	-26.51000000	2.56000000	986.68800000	421.20000000	-3.42000000	132.00000000	1164.51000000
309.79900000	19	-0.02580000	0.13580000	0.99040000	29.16000000	-25.19000000	-29.25000000	2.42000000	0.02160000	0.12390000	0.99210000	-30.14000000	-21.49000000	-26.44000000	2.62000000	986.30400000	420.55200000	-3.05000000	131.50000000	1154.15000000
319.79500000	19	-0.02740000	0.12760000	0.99150000	29.25000000	-25.01000000	-29.35000000	2.43000000	0.02200000	0.13130000	0.99110000	-30.11000000	-21.68000000	-26.51000000	2.56000000	986.88000000	421.09200000	-3.67000000	130.55000000	1150.70000000
329.78600000	20	-0.02640000	0.13590000	0.99040000	29.16000000	-25.19000000	-29.25000000	2.42000000	0.02020000	0.12240000	0.99230000	-30.14000000	-21.49000000	-26.44000000	2.61000000	987.45600000	421.41600000	-4.24000000	130.52000000	1153.25000000
339.80900000	20	-0.02750000	0.12790000	0.99140000	29.25000000	-25.01000000	-29.35000000	2.44000000	0.02190000	0.13150000	0.99110000	-30.10000000	-21.68000000	-26.51000000	2.57000000	987.07200000	420.76800000	-3.79000000	131.26000000	1153.55000000
349.79700000	20	-0.02640000	0.13590000	0.99040000	29.16000000	-25.19000000	-29.25000000	2.43000000	0.02150000	0.12480000	0.99200000	-30.13000000	-21.49000000	-26.44000000	2.62000000	986.68800000	420.01200000	-3.44000000	131.53000000	1149.96000000
359.76000000	20	-0.02750000	0.12790000	0.99140000	29.24000000	-25.01000000	-29.35000000	2.44000000	0.02180000	0.13220000	0.99100000	-30.10000000	-21.68000000	-26.51000000	2.57000000	987.07200000	420.33600000	-3.85000000	131.17000000	1149.81000000
369.75500000	21	-0.02620000	0.13600000	0.99040000	29.16000000	-25.20000000	-29.25000000	2.43000000	0.01950000	0.12220000	0.99230000	-30.14000000	-21.49000000	-26.44000000	2.61000000	987.84000000	421.20000000	-4.57000000	132.54000000	1169.21000000
379.77800000	21	-0.02760000	0.12790000	0.99140000	29.24000000	-25.01000000	-29.35000000	2.45000000	0.02110000	0.13070000	0.99120000	-30.10000000	-21.68000000	-26.51000000	2.57000000	987.64800000	420.87600000	-4.37000000	133.12000000	1171.34000000
389.76200000	21	-0.02690000	0.13620000	0.99030000	29.16000000	-25.19000000	-29.25000000	2.43000000	0.02120000	0.12430000	0.99200000	-30.14000000	-21.49000000	-26.44000000	2.63000000	987.26400000	420.33600000	-3.89000000	129.93000000	1138.34000000
399.75800000	22	-0.02810000	0.12840000	0.99130000	29.24000000	-25.01000000	-29.35000000	2.45000000	0.02250000	0.13260000	0.99090000	-30.10000000	-21.69000000	-26.50000000	2.58000000	987.07200000	420.33600000	-3.71000000	128.04000000	1122.02000000
