frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
55	31.93600000	0.24000000	-20.30200000	0.04820000	-0.11090000	0.99270000	-30.98800000	2.43800000	-21.25000000	0.10270000	-0.08460000	0.99110000	546.90000000	410.01000000	525.86000000	274.86000000	556.19000000	246.42000000
56	31.93600000	0.24000000	-20.30200000	0.04740000	-0.10850000	0.99300000	-30.98800000	2.43800000	-21.25000000	0.10730000	-0.07400000	0.99150000	543.80000000	405.44000000	526.80000000	271.98000000	550.55000000	233.54000000
57	31.93600000	0.24000000	-20.30200000	0.04910000	-0.10840000	0.99290000	-30.98800000	2.43800000	-21.25000000	0.10820000	-0.07490000	0.99130000	542.34000000	405.49000000	524.78000000	271.82000000	549.45000000	234.61000000
57	31.93500000	0.24000000	-20.30200000	0.04790000	-0.10850000	0.99290000	-30.98800000	2.43800000	-21.25000000	0.10580000	-0.07200000	0.99180000	544.27000000	404.48000000	526.13000000	271.94000000	552.33000000	230.99000000
58	31.93500000	0.23900000	-20.30200000	0.04950000	-0.10470000	0.99330000	-30.98800000	2.43800000	-21.25000000	0.10750000	-0.07390000	0.99150000	542.70000000	401.69000000	524.17000000	267.33000000	550.31000000	233.30000000
59	31.93500000	0.23900000	-20.30200000	0.05140000	-0.10110000	0.99360000	-30.98800000	2.43800000	-21.25000000	0.10570000	-0.06950000	0.99200000	542.73000000	396.58000000	521.88000000	262.99000000	552.43000000	228.05000000
60	31.93500000	0.23900000	-20.30200000	0.07320000	-0.09300000	0.99300000	-30.98800000	2.43800000	-21.25000000	0.13450000	-0.04290000	0.99000000	509.72000000	383.24000000	495.68000000	253.19000000	517.22000000	195.13000000
60	31.93500000	0.23900000	-20.30200000	0.07330000	-0.08760000	0.99350000	-30.98800000	2.43800000	-21.25000000	0.13340000	-0.03890000	0.99030000	510.44000000	376.94000000	495.37000000	246.71000000	518.51000000	190.17000000
61	31.93500000	0.23900000	-20.30200000	0.07320000	-0.08900000	0.99330000	-30.98800000	2.43800000	-21.25000000	0.13460000	-0.03880000	0.99010000	509.55000000	378.40000000	495.60000000	248.39000000	516.99000000	190.00000000
62	31.93500000	0.23900000	-20.30200000	0.07620000	-0.08790000	0.99320000	-30.98800000	2.43800000	-21.25000000	0.13480000	-0.03390000	0.99030000	507.05000000	376.24000000	492.00000000	247.06000000	516.71000000	183.86000000
63	31.93500000	0.23900000	-20.30200000	0.07630000	-0.08660000	0.99330000	-30.98800000	2.43800000	-21.25000000	0.13770000	-0.02670000	0.99010000	504.08000000	373.73000000	491.75000000	245.38000000	513.03000000	174.89000000
63	31.93500000	0.23900000	-20.30200000	0.08150000	-0.08280000	0.99320000	-30.98800000	2.43800000	-21.25000000	0.14230000	-0.02910000	0.98940000	499.06000000	370.17000000	485.48000000	240.77000000	507.43000000	177.83000000
64	31.93500000	0.23900000	-20.30200000	0.11560000	-0.09050000	0.98920000	-30.98800000	2.43800000	-21.25000000	0.18400000	-0.01830000	0.98280000	447.13000000	377.79000000	444.38000000	250.10000000	455.45000000	163.65000000
65	31.93500000	0.23900000	-20.30200000	0.14210000	-0.09620000	0.98520000	-30.98800000	2.43800000	-21.25000000	0.21550000	-0.02560000	0.97620000	410.12000000	385.68000000	412.01000000	256.91000000	415.92000000	172.20000000
66	31.93500000	0.23900000	-20.30200000	0.14350000	-0.09520000	0.98510000	-30.98800000	2.43800000	-21.25000000	0.21310000	-0.02700000	0.97670000	411.53000000	384.74000000	410.37000000	255.70000000	418.93000000	174.00000000
67	31.93500000	0.23900000	-20.30200000	0.13760000	-0.09950000	0.98550000	-30.98800000	2.43800000	-21.25000000	0.20940000	-0.02880000	0.97740000	417.12000000	389.71000000	417.69000000	261.02000000	423.80000000	176.30000000
68	31.93500000	0.23900000	-20.30200000	0.14510000	-0.09620000	0.98470000	-30.98800000	2.43800000	-21.25000000	0.20440000	-0.03220000	0.97840000	417.40000000	386.65000000	408.34000000	256.96000000	430.16000000	180.76000000
68	31.93500000	0.23900000	-20.30200000	0.09710000	-0.14400000	0.98480000	-30.98800000	2.43800000	-21.25000000	0.12710000	-0.11730000	0.98490000	504.56000000	446.39000000	467.85000000	314.83000000	526.98000000	285.97000000
69	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
70	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
71	31.93500000	0.23900000	-20.30200000	-0.01530000	-0.17420000	0.98460000	-30.98800000	2.43800000	-21.25000000	0.01560000	-0.16720000	0.98580000	636.23000000	485.95000000	601.80000000	350.29000000	659.50000000	345.26000000
72	31.93500000	0.23900000	-20.30200000	-0.02290000	-0.16260000	0.98640000	-30.98800000	2.43800000	-21.25000000	0.02680000	-0.15550000	0.98750000	634.01000000	477.31000000	610.70000000	336.55000000	646.39000000	331.34000000
72	31.93500000	0.23900000	-20.30200000	-0.02280000	-0.15540000	0.98760000	-30.98800000	2.43800000	-21.25000000	0.02950000	-0.15130000	0.98800000	632.32000000	471.08000000	610.51000000	327.86000000	643.15000000	326.40000000
73	31.93500000	0.23900000	-20.30300000	-0.02090000	-0.13840000	0.99020000	-30.98800000	2.43800000	-21.25000000	0.02700000	-0.14930000	0.98840000	632.69000000	459.18000000	608.03000000	307.61000000	646.18000000	324.03000000
74	31.93500000	0.23900000	-20.30300000	-0.02020000	-0.13780000	0.99030000	-30.98800000	2.43800000	-21.25000000	0.02650000	-0.14580000	0.98900000	632.62000000	456.13000000	607.23000000	306.90000000	646.82000000	319.75000000
75	31.93500000	0.23900000	-20.30300000	-0.02140000	-0.14180000	0.98970000	-30.98800000	2.43800000	-21.25000000	0.02720000	-0.14570000	0.98900000	632.87000000	458.72000000	608.64000000	311.71000000	645.98000000	319.72000000
75	31.93600000	0.24000000	-20.30400000	-0.01950000	-0.14180000	0.98970000	-30.98800000	2.43800000	-21.25100000	0.02830000	-0.14270000	0.98940000	631.14000000	456.69000000	606.45000000	311.67000000	644.65000000	316.12000000
76	31.93600000	0.24000000	-20.30400000	-0.02000000	-0.14390000	0.98940000	-30.98800000	2.43900000	-21.25100000	0.02520000	-0.14470000	0.98920000	633.21000000	458.39000000	606.99000000	314.20000000	648.26000000	318.46000000
77	31.93600000	0.23900000	-20.30400000	-0.02480000	-0.14330000	0.98940000	-30.98800000	2.43900000	-21.25100000	0.02350000	-0.14720000	0.98880000	637.02000000	460.37000000	612.70000000	313.47000000	650.36000000	321.47000000
78	31.93600000	0.23900000	-20.30400000	-0.02250000	-0.13580000	0.99050000	-30.98800000	2.43900000	-21.25100000	0.02210000	-0.14670000	0.98890000	636.48000000	455.33000000	609.93000000	304.58000000	651.93000000	320.88000000
