eye_tracker,participant_id,trial_number,trial_condition,std,n_samples
Pupil Core,503,2,bright,0.46514895248190447,896
Pupil Core,503,3,dark,0.5711407666309424,923
Pupil Core,503,4,bright,0.622079394623042,912
Pupil Core,503,5,dark,0.4931606492165332,924
Pupil Core,503,6,bright,0.7026498783325394,903
Pupil Core,695,1,dark,0.5123464915555771,924
Pupil Core,695,2,bright,0.6129216071253228,928
Pupil Core,695,3,dark,0.41164932377794416,923
Pupil Core,695,4,bright,0.46886911807925163,935
Pupil Core,695,5,dark,0.8295081029999971,930
Pupil Core,695,6,bright,0.4835677780226044,927
Pupil Core,772,1,dark,0.6698454280117275,880
Pupil Core,772,2,bright,0.9843458954561832,892
Pupil Core,772,3,dark,0.7114734654582572,918
Pupil Core,772,4,bright,1.0838912482213134,911
Pupil Core,772,5,dark,0.5552683756869788,917
Pupil Core,772,6,bright,0.7629481438428721,907
Pupil Core,796,1,dark,0.4787576887788278,883
Pupil Core,796,2,bright,0.374439343112625,873
Pupil Core,796,3,dark,0.2648650039506468,919
Pupil Core,796,4,bright,0.44154725882195106,905
Pupil Core,796,5,dark,0.3566565993265941,904
Pupil Core,796,6,bright,0.3515050238941249,901
Pupil Core,844,1,dark,0.4516943492184965,917
Pupil Core,844,2,bright,0.4022539223224942,910
Pupil Core,844,3,dark,0.37060272739858297,911
Pupil Core,844,4,bright,0.5570769479253197,907
Pupil Core,844,5,dark,0.2456526969399734,890
Pupil Core,844,6,bright,0.3848864644071483,911
Pupil Core,875,1,dark,0.7937997167470683,888
Pupil Core,875,2,bright,1.5814109781834667,881
Pupil Core,875,3,dark,0.8489990020105175,910
Pupil Core,875,4,bright,1.6876447531593783,899
Pupil Core,875,5,dark,0.8268626984566126,904
Pupil Core,875,6,bright,1.179884898750934,836
Pupil Core,914,1,dark,0.3123222874282222,930
Pupil Core,914,2,bright,0.5287276349520905,930
Pupil Core,914,3,dark,0.4114725870541099,919
Pupil Core,914,4,bright,0.38395167198005004,936
Pupil Core,914,5,dark,0.596105469688041,925
Pupil Core,914,6,bright,0.6834835612313862,929
Pupil Neon,137,1,dark,0.33148531201202425,739
Pupil Neon,137,2,bright,0.24557814730466063,736
Pupil Neon,137,3,dark,0.3271420412801003,739
Pupil Neon,137,4,bright,0.24950021053801588,700
Pupil Neon,137,5,dark,0.27561895081691884,738
Pupil Neon,137,6,bright,0.2526458332581091,746
Pupil Neon,141,1,dark,0.18799669899374374,709
Pupil Neon,141,2,bright,0.21793614840115005,697
Pupil Neon,141,3,dark,0.22118778030181302,717
Pupil Neon,141,4,bright,0.31800397452287055,731
Pupil Neon,141,5,dark,0.3159480809111868,744
Pupil Neon,141,6,bright,0.3084163490596284,738
Pupil Neon,199,1,dark,0.2294842378943965,737
Pupil Neon,199,2,bright,0.20189364344785482,724
Pupil Neon,199,3,dark,0.18156169935033648,745
Pupil Neon,199,4,bright,0.2232410555805217,738
Pupil Neon,199,5,dark,0.27587336884079233,738
Pupil Neon,199,6,bright,0.31288599729090877,745
Pupil Neon,210,1,dark,0.18961060321975481,732
Pupil Neon,210,2,bright,0.22391220506658957,737
Pupil Neon,210,3,dark,0.1577323067060131,742
Pupil Neon,210,4,bright,0.2291296681734457,750
Pupil Neon,210,5,dark,0.21782825819724458,737
Pupil Neon,210,6,bright,0.2732949915141396,740
Pupil Neon,231,1,dark,0.32155441816311553,730
Pupil Neon,231,2,bright,0.17800302766150783,738
Pupil Neon,231,3,dark,0.10391321336691649,738
Pupil Neon,231,4,bright,0.23851425867805168,743
Pupil Neon,231,5,dark,0.16562089854529574,738
Pupil Neon,231,6,bright,0.17987453611459597,731
Pupil Neon,259,1,dark,0.16278552136153432,721
Pupil Neon,259,2,bright,0.19590859535019875,744
Pupil Neon,259,3,dark,0.2621705041390454,728
Pupil Neon,259,4,bright,0.2901858678699345,750
Pupil Neon,259,5,dark,0.16968960647022063,732
Pupil Neon,259,6,bright,0.14065181319538095,730
Pupil Neon,276,1,dark,0.3521032896408625,724
Pupil Neon,276,2,bright,0.29200794035745753,709
Pupil Neon,276,3,dark,0.30138257044619765,750
Pupil Neon,276,4,bright,0.3253324778711359,739
Pupil Neon,276,5,dark,0.3732120010728826,748
Pupil Neon,276,6,bright,0.26457095751748827,747
Pupil Neon,299,1,dark,0.23003973760964896,735
Pupil Neon,299,2,bright,0.20787281403634,731
Pupil Neon,299,3,dark,1.852168249800148,623
Pupil Neon,299,4,bright,0.26262533099002816,705
Pupil Neon,299,5,dark,0.16545962712677564,715
Pupil Neon,299,6,bright,0.3645898152593759,737
Pupil Neon,319,1,dark,0.4374598520291455,734
Pupil Neon,319,2,bright,0.29997985079867884,736
Pupil Neon,319,3,dark,0.28626998538901627,737
Pupil Neon,319,4,bright,0.2435036971544293,739
Pupil Neon,319,5,dark,0.3182487550010538,748
Pupil Neon,319,6,bright,0.29901793764679324,749
Pupil Neon,332,1,dark,0.19056479433229923,742
Pupil Neon,332,2,bright,0.2368932163988424,738
Pupil Neon,332,3,dark,0.17894056340401143,728
Pupil Neon,332,4,bright,0.1769916957718683,745
Pupil Neon,332,5,dark,0.1702268624160859,736
Pupil Neon,332,6,bright,0.20260649093461663,743
Pupil Neon,347,1,dark,0.23182771590387097,722
Pupil Neon,347,2,bright,0.13368193423504934,737
Pupil Neon,347,3,dark,0.2707257830514004,735
Pupil Neon,347,4,bright,0.1977321765714661,743
Pupil Neon,347,5,dark,0.2816565705064972,703
Pupil Neon,347,6,bright,0.26812123888511463,729
Pupil Neon,352,1,dark,0.23378523045458707,739
Pupil Neon,352,2,bright,0.20180260071800124,738
Pupil Neon,352,3,dark,0.2572852325474756,734
Pupil Neon,352,4,bright,0.12031984620808528,723
Pupil Neon,352,5,dark,0.2074990574986574,739
Pupil Neon,352,6,bright,0.25935365539584476,721
