eye_tracker,participant_id,trial_number,trial_condition,accuracy,n_samples
SMI ETG 2w,259,4,bright,1.7454796445530625,114
SMI ETG 2w,259,5,dark,2.1982128920188035,115
SMI ETG 2w,259,6,bright,2.139895466238603,113
SMI ETG 2w,276,1,dark,2.6101691478018356,110
SMI ETG 2w,276,2,bright,0.9472596812960383,110
SMI ETG 2w,276,3,dark,2.3641940639673775,110
SMI ETG 2w,276,4,bright,1.197745789822292,95
SMI ETG 2w,276,5,dark,1.6195198332336487,109
SMI ETG 2w,276,6,bright,1.1174509009603073,110
SMI ETG 2w,299,1,dark,4.3253512021660265,107
SMI ETG 2w,299,2,bright,2.634140588018966,108
SMI ETG 2w,299,3,dark,5.572123788683402,114
SMI ETG 2w,299,4,bright,3.298255236639832,114
SMI ETG 2w,299,5,dark,4.857344716705703,113
SMI ETG 2w,299,6,bright,3.504896752756956,106
SMI ETG 2w,319,1,dark,1.639646107963877,114
SMI ETG 2w,319,2,bright,0.44487346199568456,113
SMI ETG 2w,319,3,dark,1.8687579032659705,111
SMI ETG 2w,319,4,bright,0.6411259819100634,112
SMI ETG 2w,319,5,dark,1.9802190192499558,114
SMI ETG 2w,319,6,bright,0.4368954057163052,114
SMI ETG 2w,332,1,dark,1.3619324469977812,113
SMI ETG 2w,332,2,bright,0.2988605396572578,115
SMI ETG 2w,332,3,dark,1.4217925910001088,113
SMI ETG 2w,332,4,bright,0.2717207340641935,112
SMI ETG 2w,332,5,dark,1.421125808028644,111
SMI ETG 2w,332,6,bright,0.24186427155690837,112
SMI ETG 2w,347,1,dark,2.8731916709278744,115
SMI ETG 2w,347,2,bright,0.9193257501160347,116
SMI ETG 2w,347,3,dark,2.5384050084978447,112
SMI ETG 2w,347,4,bright,0.7274476138601315,112
SMI ETG 2w,347,5,dark,1.4912850071013088,111
SMI ETG 2w,347,6,bright,0.5147998761077726,111
SMI ETG 2w,352,1,dark,2.250358709777524,111
SMI ETG 2w,352,2,bright,0.47819666766815677,114
SMI ETG 2w,352,3,dark,2.315949220120262,114
SMI ETG 2w,352,4,bright,0.6109831833481947,113
SMI ETG 2w,352,5,dark,2.204755053308877,114
SMI ETG 2w,352,6,bright,0.5210024224644534,111
