eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,gaze_target_angle
Tobii Glasses 2,725,dilated,1,984,332,28963.283,-0.0275,0.2154,0.9761,29.81,-25.66,-28.77,4.29,0.0234,0.222,0.9748,-32.49,-25.47,-27.82,4.21,988.032,313.416,-3.79,237.56,1145.49,0.9113693416345526
Tobii Glasses 2,725,dilated,1,984,332,28973.278,-0.0289,0.2224,0.9745,29.98,-25.84,-28.82,4.37,0.0228,0.2148,0.9764,-32.9,-25.29,-27.95,4.3,989.568,313.74,-5.15,234.21,1130.64,0.9152414033851839
Tobii Glasses 2,725,dilated,1,984,332,28983.271,-0.0299,0.2163,0.9759,29.81,-25.66,-28.77,4.3,0.0226,0.2213,0.9749,-32.5,-25.47,-27.81,4.21,990.144,313.74,-5.67,231.93,1119.8,0.9238408222037967
Tobii Glasses 2,725,dilated,1,984,332,28993.256,-0.0296,0.2227,0.9744,29.98,-25.84,-28.82,4.37,0.0229,0.2149,0.9764,-32.9,-25.3,-27.95,4.31,989.952,313.74,-5.45,230.61,1113.49,0.9208870590985218
Tobii Glasses 2,726,dilated,1,984,332,29003.251,-0.0298,0.2164,0.9759,29.81,-25.66,-28.77,4.3,0.0235,0.2213,0.9749,-32.5,-25.48,-27.81,4.22,989.568,313.956,-5.04,228.17,1102.72,0.9053985167038368
Tobii Glasses 2,726,dilated,1,984,332,29013.274,-0.0298,0.2225,0.9745,29.98,-25.84,-28.82,4.37,0.0234,0.215,0.9763,-32.9,-25.3,-27.95,4.3,989.76,314.064,-5.16,227.33,1099.21,0.9033069033804795
Tobii Glasses 2,726,dilated,1,984,332,29023.271,-0.0301,0.2169,0.9757,29.81,-25.66,-28.76,4.3,0.0236,0.2208,0.975,-32.5,-25.48,-27.81,4.21,989.568,314.064,-5.1,226.87,1096.89,0.9004807788074053
Tobii Glasses 2,726,dilated,1,984,332,29033.255,-0.0298,0.2218,0.9746,29.98,-25.84,-28.82,4.37,0.0234,0.215,0.9763,-32.9,-25.3,-27.95,4.3,989.76,314.388,-5.25,228.08,1104.26,0.8886177576814005
Tobii Glasses 2,727,dilated,1,985,332,29043.245,-0.0303,0.2165,0.9758,29.81,-25.66,-28.76,4.3,0.0228,0.2199,0.9752,-32.49,-25.48,-27.8,4.21,990.144,314.604,-5.77,229.53,1112.09,0.8697568015299455
Tobii Glasses 2,727,dilated,1,985,332,29053.241,-0.0308,0.221,0.9748,29.98,-25.84,-28.82,4.37,0.0232,0.2142,0.9765,-32.9,-25.3,-27.94,4.3,990.528,315.684,-5.88,223.59,1088.58,0.8263336487497942
Tobii Glasses 2,727,dilated,1,985,332,29063.235,-0.031,0.2145,0.9762,29.81,-25.66,-28.77,4.3,0.0228,0.2208,0.975,-32.49,-25.48,-27.8,4.21,990.528,315.792,-5.99,222.93,1085.75,0.821458768717005
Tobii Glasses 2,727,dilated,1,985,332,29073.224,-0.0309,0.2207,0.9749,29.98,-25.84,-28.83,4.37,0.0239,0.2146,0.9764,-32.9,-25.3,-27.94,4.31,989.952,315.9,-5.42,220.84,1076.07,0.8078695804811209
Tobii Glasses 2,728,dilated,1,986,332,29083.214,-0.0305,0.2125,0.9767,29.81,-25.65,-28.78,4.31,0.0241,0.2223,0.9747,-32.49,-25.48,-27.8,4.22,989.568,316.872,-4.88,214.54,1049.4,0.7453441226021528
