eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,confidence,gaze_target_angle
Pupil Core,2629,dilated,1,661,366,88821.77565934,-39.52856942,14.46669344,-21.22770876,3.90254299,0.18253139,-0.09226282,0.97886151,20.36513045,15.22478532,-19.79393277,4.82306614,-0.08734347,-0.0624318,0.99421999,638.03574919,388.20248885,1.25326696,-2.28843896,198.0839598,1.0,2.3061853900257203
Pupil Core,2629,dilated,1,661,366,88825.80165934,-39.52856942,14.46669344,-21.22770876,3.93565742,0.18253139,-0.09226282,0.97886151,20.36513045,15.22478532,-19.79393277,4.82306614,-0.09127112,-0.06626471,0.99361893,635.73800475,387.34779215,0.6692437,-2.46141108,194.88539574,1.0,2.3876830748880673
Pupil Core,2629,dilated,1,661,366,88829.69765934,-39.52856942,14.46669344,-21.22770876,3.93565742,0.18393964,-0.09519912,0.97831658,20.36513045,15.22478532,-19.79393277,4.73885356,-0.09127112,-0.06626471,0.99361893,636.19310079,386.34016963,0.77632869,-2.69301424,193.73932857,1.0,2.315876944580523
Pupil Core,2630,dilated,1,661,366,88833.77415934,-39.52856942,14.46669344,-21.22770876,3.93565742,0.18645798,-0.09369192,0.9779853,20.36513045,15.22478532,-19.79393277,4.7584204,-0.09127112,-0.06626471,0.99361893,636.99522129,387.57146152,0.96178108,-2.36724309,191.7077783,1.0,2.3299689906984034
Pupil Core,2630,dilated,1,661,366,88837.80715934,-39.52856942,14.46669344,-21.22770876,3.91063367,0.18645798,-0.09369192,0.9779853,20.36513045,15.22478532,-19.79393277,4.7584204,-0.08641651,-0.06531014,0.99411608,639.82899081,386.95851443,1.67827028,-2.56503858,195.48975999,1.0,2.1509160255158126
Pupil Core,2630,dilated,1,661,366,88841.81365934,-39.52856942,14.46669344,-21.22770876,3.91063367,0.18971687,-0.09728802,0.97700694,20.36513045,15.22478532,-19.79393277,4.82798874,-0.08641651,-0.06531014,0.99411608,640.88496065,386.06214307,1.91183925,-2.74803038,192.82817657,1.0,2.0512618133466862
Pupil Core,2630,dilated,1,661,366,88845.77365934,-39.52856942,14.46669344,-21.22770876,3.93368784,0.18971687,-0.09728802,0.97700694,20.36513045,15.22478532,-19.79393277,4.82798874,-0.08792591,-0.0731345,0.99343866,639.99152706,382.91703724,1.68359461,-3.48893151,191.52995762,1.0,1.947325356703592
Pupil Core,2630,dilated,1,661,366,88849.82965934,-39.52856942,14.46669344,-21.22770876,3.90324864,0.18971687,-0.09728802,0.97700694,20.36513045,15.22478532,-19.79393277,4.82798874,-0.09052155,-0.07143088,0.99332949,638.4783467,384.22251932,1.30535584,-3.14173247,189.60396946,0.99525824,2.0914803469855867
Pupil Core,2630,dilated,1,661,366,88853.84065934,-39.52856942,14.46669344,-21.22770876,3.90324864,0.18610711,-0.09034809,0.97836668,20.36513045,15.22478532,-19.79393277,4.75553832,-0.09052155,-0.07143088,0.99332949,637.30441709,386.5492895,1.04051062,-2.62455531,192.46309009,0.99525824,2.2643699976399896
Pupil Core,2630,dilated,1,661,366,88857.80215934,-39.52856942,14.46669344,-21.22770876,3.92594621,0.18610711,-0.09034809,0.97836668,20.36513045,15.22478532,-19.79393277,4.75553832,-0.09122405,-0.07296654,0.99315359,636.89083799,386.01910625,0.93752937,-2.74507143,191.89644995,1.0,2.2623107329924053
Pupil Core,2630,dilated,1,661,366,88861.73915934,-39.52856942,14.46669344,-21.22770876,3.92594621,0.18512503,-0.09295856,0.97830845,20.36513045,15.22478532,-19.79393277,4.75426724,-0.09122405,-0.07296654,0.99315359,636.58197745,384.63094432,0.86648949,-3.09360113,192.68914801,1.0,2.2172291374897664
Pupil Core,2630,dilated,1,661,366,88865.70915934,-39.52856942,14.46669344,-21.22770876,3.92594621,0.18732855,-0.09891154,0.97730472,20.36513045,15.22478532,-19.79393277,4.78770626,-0.09122405,-0.07296654,0.99315359,637.30032484,382.43680998,1.03133541,-3.59360333,190.93377326,1.0,2.081991660922147
Pupil Core,2631,dilated,1,662,366,88869.70565934,-39.52856942,14.46669344,-21.22770876,,0.18732855,-0.09891154,0.97730472,20.36513045,15.22478532,-19.79393277,4.78770626,-0.0958084,-0.06983701,0.9929469,634.61740321,384.79819927,0.37950509,-2.97188546,187.57261266,1.0,2.397543857736398
