frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
28	778.76100000	430.97600000	3.00446296	2.91776323	-31.25442886	16.22306824	-40.06584549	31.81531143	17.36446381	-40.34991455	0.00047089	-0.13323984	0.99108374	0.06171266	-0.14149119	0.98801410
28	778.39000000	429.50400000	3.01767612	2.90851116	-31.15693665	16.19528961	-40.06055450	31.91335297	17.35865021	-40.29005051	-0.00761979	-0.13326900	0.99105060	0.05212588	-0.14166217	0.98854172
28	777.23500000	430.35900000	3.02337384	2.94395113	-31.15095520	16.18714142	-40.03861618	31.91882706	17.32769394	-40.30716324	-0.00770054	-0.13309875	0.99107289	0.05295891	-0.14141317	0.98853308
28	773.35000000	430.11100000	3.02492738	2.93167496	-31.15621567	16.14844513	-40.04110718	31.91132545	17.28549576	-40.26412201	-0.00545530	-0.12902661	0.99162614	0.05202785	-0.13706888	0.98919427
28	776.41800000	435.21700000	3.01977396	2.91465092	-31.18915939	16.09627533	-40.05385590	31.87933159	17.22202301	-40.23017502	-0.00515766	-0.12545727	0.99208564	0.04968338	-0.13352811	0.98979890
28	778.74800000	425.39700000	3.01888800	2.93156075	-31.19783783	16.19425964	-40.04553223	31.87018204	17.32472229	-40.27178192	-0.00312876	-0.13330421	0.99107021	0.05244046	-0.14156033	0.98853964
28	778.02900000	427.05400000	3.01901460	2.92998457	-31.15289307	16.19622803	-40.00362778	31.91569328	17.29925537	-40.30509186	-0.00486982	-0.13174571	0.99127162	0.05289751	-0.14039148	0.98868203
29	778.98300000	423.98400000	3.01985168	2.92519903	-31.12072372	16.16693878	-40.02552032	31.94896698	17.29073334	-40.27809906	-0.00831921	-0.12953761	0.99153966	0.04704409	-0.13782175	0.98933923
29	779.14800000	425.24200000	3.01589608	2.92255116	-31.07582474	16.15917969	-39.99260712	31.99428940	17.25280762	-40.34611511	-0.00926671	-0.12698101	0.99186188	0.04934837	-0.13519099	0.98958993
29	779.99900000	423.57600000	3.02508998	2.93737125	-31.11367035	16.17811584	-39.96458054	31.95714951	17.25024414	-40.37677765	-0.00713248	-0.12940061	0.99156678	0.05226511	-0.13774405	0.98908794
29	779.97400000	426.22100000	3.02927470	2.94234657	-31.13562012	16.18463516	-39.99536514	31.93556213	17.25778580	-40.34928131	-0.00819934	-0.12976468	0.99151093	0.05178415	-0.13816640	0.98905432
29	780.97400000	428.95300000	3.03051996	2.93837690	-31.13626862	16.14810181	-40.03143692	31.93738556	17.25911713	-40.29555130	-0.00834882	-0.12697875	0.99187034	0.04992576	-0.13528524	0.98954803
29	782.71200000	429.39600000	3.01873732	2.93146920	-31.15427017	16.16597748	-39.96384430	31.91667938	17.25823212	-40.31112671	-0.00509495	-0.12766762	0.99180394	0.05140023	-0.13613324	0.98935622
29	784.05100000	429.83900000	3.01635194	2.92568588	-31.18873978	16.15779114	-39.99573517	31.88085175	17.23115540	-40.32369995	-0.00336736	-0.12625211	0.99199247	0.05443756	-0.13462247	0.98940051
30	785.89200000	425.31200000	3.02095222	2.91124582	-31.22287750	16.19046021	-40.00643921	31.84251022	17.31900787	-40.23402023	-0.00113377	-0.13097024	0.99138564	0.05156340	-0.13920517	0.98892021
30	781.45100000	427.14600000	3.02215099	2.92490077	-31.15415192	16.20643997	-39.97964478	31.91222191	17.34172821	-40.24189377	-0.00470399	-0.13273166	0.99114084	0.04651378	-0.14130212	0.98887318
30	779.35700000	423.77500000	3.05576777	2.93656969	-31.18824387	16.28712082	-40.04053497	31.88000679	17.41312408	-40.18445969	-0.00695016	-0.13854656	0.99033153	0.04602643	-0.14673623	0.98810428
30	778.72700000	426.48200000	3.04571652	2.94145083	-31.11810303	16.25261307	-39.99462128	31.95213318	17.36727142	-40.28671265	-0.00872275	-0.13467279	0.99085176	0.04728085	-0.14303480	0.98858768
30	779.15400000	423.60100000	3.01758599	2.93437958	-31.08433533	16.18282318	-39.99702454	31.98749924	17.28550720	-40.30328369	-0.01036741	-0.13036890	0.99141139	0.04565190	-0.13884643	0.98926115
30	782.08900000	424.00400000	3.02600527	2.94496894	-31.17808914	16.20540619	-40.03608704	31.89167976	17.30174637	-40.24643707	-0.00464451	-0.13225205	0.99120528	0.04912543	-0.14058432	0.98884922
31	779.13000000	424.96700000	3.03510761	2.92848492	-31.24224854	16.23411179	-40.06595230	31.82856560	17.38579559	-40.19393921	-0.00103093	-0.13612509	0.99069113	0.05443638	-0.14408349	0.98806715
31	780.09800000	420.77300000	3.03574824	2.95560312	-31.23280334	16.23519516	-40.10515594	31.83882141	17.37680817	-40.21118927	-0.00444679	-0.13639058	0.99064517	0.05337904	-0.14476363	0.98802537
31	779.94800000	421.63900000	3.03797841	2.95048070	-31.20339966	16.30813980	-40.05467224	31.86834335	17.41843414	-40.20419312	-0.00470180	-0.14146249	0.98993248	0.05107855	-0.14988534	0.98738307
31	777.68000000	420.78700000	3.03543615	2.94054317	-31.27808380	16.33658600	-40.03308105	31.79044533	17.43414307	-40.20175171	0.00148468	-0.14296637	0.98972642	0.05639764	-0.15111265	0.98690647
31	779.12400000	418.52800000	3.03607202	2.94810510	-31.22910309	16.35353088	-40.02025604	31.83974266	17.46456909	-40.18645477	-0.00115768	-0.14384672	0.98959935	0.05256853	-0.15221684	0.98694813
31	778.36800000	421.46200000	3.02651548	2.93711138	-31.24324036	16.28819275	-40.02658463	31.82694435	17.36759567	-40.22898865	0.00139320	-0.13724212	0.99053657	0.05594206	-0.14563985	0.98775476
31	779.27600000	425.37500000	3.01558828	2.95474386	-31.20333862	16.28468323	-40.00276566	31.86966705	17.36170197	-40.27890778	-0.00020481	-0.13667955	0.99061531	0.05697643	-0.14504495	0.98778319
32	780.36200000	427.96300000	3.01758528	2.94881105	-31.19775391	16.20944595	-40.05969238	31.87509918	17.30190277	-40.28804779	-0.00214081	-0.13175705	0.99127972	0.05494897	-0.14012355	0.98860812
