frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
43	32.04000000	-1.93800000	-24.78600000	2.36000000	-0.03880000	-0.21180000	0.97650000	-34.83900000	-0.16200000	-21.69700000	2.42000000	0.00260000	-0.21310000	0.97700000	658.87000000	538.96000000	65.00000000	57.00000000	66.00000000	58.00000000	613.27000000	608.35000000	720.72000000	611.81000000
43	32.04000000	-1.93800000	-24.78600000	2.38000000	-0.03690000	-0.21030000	0.97690000	-34.83900000	-0.16100000	-21.69700000	2.44000000	0.00250000	-0.21220000	0.97720000	657.75000000	536.84000000	65.00000000	57.00000000	66.00000000	58.00000000	611.06000000	606.53000000	720.86000000	610.72000000
44	32.04000000	-1.93800000	-24.78600000	2.38000000	-0.03340000	-0.21000000	0.97710000	-34.83900000	-0.16100000	-21.69700000	2.46000000	0.00390000	-0.21100000	0.97750000	654.78000000	535.26000000	64.00000000	59.00000000	66.00000000	62.00000000	607.00000000	606.25000000	719.20000000	609.24000000
45	32.04000000	-1.93800000	-24.78600000	2.42000000	-0.03330000	-0.21170000	0.97680000	-34.84000000	-0.16100000	-21.69700000	2.48000000	0.00440000	-0.21210000	0.97720000	654.50000000	537.00000000	65.00000000	60.00000000	66.00000000	62.00000000	606.92000000	608.19000000	718.70000000	610.56000000
46	32.04000000	-1.93700000	-24.78600000	2.42000000	-0.03280000	-0.21290000	0.97650000	-34.84000000	-0.16100000	-21.69800000	2.48000000	0.00660000	-0.21290000	0.97710000	652.98000000	538.77000000	66.00000000	60.00000000	68.00000000	62.00000000	606.33000000	609.67000000	716.16000000	611.50000000
47	32.04000000	-1.93700000	-24.78600000	2.44000000	-0.02770000	-0.21480000	0.97630000	-34.84000000	-0.16100000	-21.69800000	2.54000000	0.00830000	-0.21340000	0.97690000	648.98000000	539.10000000	67.00000000	60.00000000	68.00000000	62.00000000	600.57000000	612.02000000	714.22000000	612.04000000
48	32.04000000	-1.93700000	-24.78600000	2.44000000	0.01950000	-0.22690000	0.97370000	-34.84000000	-0.16100000	-21.69800000	2.58000000	0.05900000	-0.22110000	0.97350000	592.40000000	552.69000000	68.00000000	61.00000000	70.00000000	62.00000000	546.49000000	627.21000000	655.98000000	621.10000000
48	32.04000000	-1.93700000	-24.78600000	2.44000000	0.01920000	-0.22840000	0.97340000	-34.84000000	-0.16100000	-21.69800000	2.60000000	0.05990000	-0.22060000	0.97350000	592.02000000	553.90000000	67.00000000	60.00000000	70.00000000	62.00000000	546.78000000	628.97000000	654.96000000	620.51000000
49	32.04100000	-1.93600000	-24.78700000	2.50000000	0.02140000	-0.22730000	0.97360000	-34.84100000	-0.16000000	-21.69800000	2.58000000	0.05880000	-0.21990000	0.97380000	591.35000000	551.73000000	68.00000000	62.00000000	70.00000000	62.00000000	544.23000000	627.76000000	656.19000000	619.65000000
50	32.04100000	-1.93600000	-24.78700000	2.48000000	0.02050000	-0.22690000	0.97370000	-34.84100000	-0.16000000	-21.69800000	2.60000000	0.05940000	-0.22040000	0.97360000	591.59000000	552.13000000	68.00000000	61.00000000	70.00000000	62.00000000	545.31000000	627.21000000	655.55000000	620.27000000
51	32.04100000	-1.93600000	-24.78700000	2.46000000	0.01880000	-0.22980000	0.97310000	-34.84100000	-0.16000000	-21.69800000	2.58000000	0.05830000	-0.22100000	0.97350000	593.15000000	554.72000000	68.00000000	60.00000000	70.00000000	62.00000000	547.27000000	630.63000000	656.71000000	620.95000000
52	32.04100000	-1.93600000	-24.78700000	2.50000000	0.02050000	-0.23210000	0.97250000	-34.84100000	-0.16000000	-21.69800000	2.58000000	0.05810000	-0.22210000	0.97330000	592.32000000	556.34000000	68.00000000	61.00000000	70.00000000	62.00000000	545.36000000	633.45000000	656.99000000	622.23000000
53	32.04100000	-1.93500000	-24.78800000	2.46000000	0.01950000	-0.23240000	0.97240000	-34.84200000	-0.15900000	-21.69800000	2.58000000	0.05640000	-0.22360000	0.97300000	593.87000000	557.02000000	67.00000000	62.00000000	68.00000000	64.00000000	546.55000000	633.85000000	658.86000000	624.08000000
